V_bus_V,IREF_uA,R10_Ohm,R_bone_Ohm,kind,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
5,10,30000,30000,fixed,9.783748589e-06,0.293512,4.706096,2.4636,0.2999989,0.2999987,7.030094122e-05,71122.8,2.871652094e-06,4.310815093e-05,regulating
5,20,15000,30000,fixed,1.978340347e-05,0.593502,4.406048,2.4667,0.2999990,0.2999988,8.029884290e-05,62267.4,1.174149159e-05,8.123162543e-05,regulating
5,50,6000,30000,fixed,4.978267137e-05,1.493480,3.505894,2.4729,0.2999989,0.2999987,1.103004609e-04,45330.7,7.434943105e-05,1.595980003e-04,regulating
5,100,3000,30000,fixed,9.978176341e-05,2.993453,2.005627,2.4798,0.2999989,0.2999987,1.602998192e-04,31191.6,2.986920093e-04,1.701905556e-04,regulating
5,200,1500,24000,edge,1.959749574e-04,4.703399,0.295114,3.2709,0.2944090,0.2999987,2.565720108e-04,19487.7,9.217484140e-04,1.382624648e-07,out_of_compliance
5,200,1500,26000,edge,1.817274702e-04,4.724914,0.273683,3.2710,0.2730410,0.2999987,2.423267826e-04,20633.3,8.586467089e-04,1.166786558e-07,out_of_compliance
5,200,1500,30000,fixed,1.586582054e-04,4.759746,0.238987,3.2711,0.2384423,0.2999987,2.192611907e-04,22803.9,7.551727838e-04,8.638215657e-08,out_of_compliance
8,10,30000,30000,fixed,9.783751625e-06,0.293513,7.706070,2.4636,0.2999989,0.2999987,7.480188558e-05,106949.2,2.871653876e-06,7.245915946e-05,regulating
8,20,15000,30000,fixed,1.978340255e-05,0.593502,7.406022,2.4667,0.2999989,0.2999987,8.480175585e-05,94337.7,1.174149049e-05,1.405813074e-04,regulating
8,50,6000,30000,fixed,4.978267429e-05,1.493480,6.505867,2.4729,0.2999989,0.2999987,1.148013815e-04,69685.6,7.434943977e-05,3.089447112e-04,regulating
8,100,3000,30000,fixed,9.978179327e-05,2.993454,5.005599,2.4798,0.2999989,0.2999987,1.648007475e-04,48543.5,2.986921880e-04,4.695332572e-04,regulating
8,200,1500,30000,fixed,1.997804041e-04,5.993412,2.005053,2.4896,0.2999989,0.2999987,2.647995088e-04,30211.5,1.197366296e-03,3.406363976e-04,regulating
8,200,1500,38000,edge,1.997802488e-04,7.591649,0.406816,2.4896,0.2999989,0.2999987,2.647994958e-04,30211.5,1.516661616e-03,2.133988159e-05,regulating
8,200,1500,42000,edge,1.838496020e-04,7.721683,0.276875,3.2710,0.2762237,0.2999987,2.489495109e-04,32135.0,1.419628398e-03,1.197493133e-07,out_of_compliance
