R_bone_Ohm,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
500,9.978181239e-05,0.049891,4.949189,2.4798,0.2999989,0.2999987,1.603023506e-04,31191.1,4.978205042e-06,4.639045827e-04,regulating
1000,9.978179461e-05,0.099782,4.899298,2.4798,0.2999989,0.2999987,1.603008138e-04,31191.4,9.956406536e-06,4.589263038e-04,regulating
2000,9.978179330e-05,0.199564,4.799516,2.4798,0.2999989,0.2999987,1.602998167e-04,31191.6,1.991281255e-05,4.489698926e-04,regulating
5000,9.978179358e-05,0.498909,4.500171,2.4798,0.2999989,0.2999987,1.602998209e-04,31191.6,4.978203165e-05,4.191006748e-04,regulating
10000,9.978179983e-05,0.997818,4.001262,2.4798,0.2999989,0.2999987,1.603010179e-04,31191.3,9.956407577e-05,3.693186574e-04,regulating
22000,9.978179078e-05,2.195199,2.803880,2.4798,0.2999989,0.2999987,1.602998195e-04,31191.6,2.190409270e-04,2.498417665e-04,regulating
30000,9.978176341e-05,2.993453,2.005627,2.4798,0.2999989,0.2999987,1.602998192e-04,31191.6,2.986920093e-04,1.701905556e-04,regulating
39000,9.978167732e-05,3.891485,1.107594,2.4798,0.2999989,0.2999987,1.602998285e-04,31191.5,3.882989420e-04,8.058321825e-05,regulating
42000,9.978164784e-05,4.190829,0.808250,2.4798,0.2999989,0.2999987,1.602998236e-04,31191.6,4.181678444e-04,5.071417747e-05,regulating
44000,9.978162832e-05,4.390392,0.608688,2.4798,0.2999989,0.2999987,1.602998129e-04,31191.6,4.380804274e-04,3.080150265e-05,regulating
45000,9.978162429e-05,4.490173,0.508907,2.4798,0.2999989,0.2999987,1.602998214e-04,31191.6,4.480367646e-04,2.084514480e-05,regulating
46000,9.978160874e-05,4.589954,0.409126,2.4798,0.2999989,0.2999987,1.602998124e-04,31191.6,4.579929944e-04,1.088884365e-05,regulating
47000,9.978104360e-05,4.689709,0.309371,2.4853,0.2999989,0.2999987,1.602998143e-04,31191.6,4.679440631e-04,9.351195542e-07,regulating
48000,9.799693793e-05,4.703853,0.295237,3.2709,0.2948838,0.2999987,1.585948163e-04,31526.9,4.609631925e-04,3.458156634e-08,out_of_compliance
50000,9.429960121e-05,4.714980,0.284131,3.2709,0.2837951,0.2999987,1.548985935e-04,32279.2,4.446207394e-04,3.170854153e-08,out_of_compliance
55000,8.617163238e-05,4.739440,0.259719,3.2710,0.2594185,0.2999987,1.467731426e-04,34066.2,4.084052625e-04,2.592775816e-08,out_of_compliance
62000,7.689291334e-05,4.767361,0.231853,3.2711,0.2315908,0.2999987,1.374973110e-04,36364.3,3.665762475e-04,2.017427710e-08,out_of_compliance
70000,6.846732467e-05,4.792713,0.206551,3.2712,0.2063216,0.2999987,1.290743337e-04,38737.4,3.281442183e-04,1.567660456e-08,out_of_compliance
90000,5.374454995e-05,4.837009,0.162340,3.2712,0.1621665,0.2999987,1.143560989e-04,43723.1,2.599628985e-04,9.342438497e-09,out_of_compliance
120000,4.063702800e-05,4.876443,0.122984,3.2712,0.1228557,0.2999987,1.012526166e-04,49381.4,1.981641654e-04,5.193375890e-09,out_of_compliance
220000,2.241482060e-05,4.931261,0.068273,3.2712,0.0682055,0.2999987,8.304045018e-05,60211.6,1.105333202e-04,1.523181763e-09,out_of_compliance
470000,1.056786606e-05,4.966897,0.032707,3.2712,0.0326753,0.2999987,7.119274935e-05,70231.9,5.248950269e-05,3.310434281e-10,out_of_compliance
1000000,4.983694054e-06,4.983694,0.015942,3.2712,0.0159278,0.2999989,6.561240842e-05,76205.1,2.483720643e-05,7.287187548e-11,out_of_compliance
