V_bus_V,R_bone_Ohm,I_bone_A,I_bus_A,V_bone_V,V_bone_P_V,I_bone_model_A,I_bus_model_A,regulating
3.3,10000,9.975135889e-05,1.577097368e-04,0.997514,3.299095,9.978200000e-05,1.577610102e-04,1
3.3,20000,9.975126801e-05,1.577097368e-04,1.995025,3.299095,9.978200000e-05,1.577610102e-04,1
3.3,28000,9.975118968e-05,1.577097368e-04,2.793033,3.299095,9.978200000e-05,1.577610102e-04,1
3.3,30000,9.974984852e-05,1.577097350e-04,2.992495,3.299095,9.978200000e-05,1.577610102e-04,1
3.3,32000,9.422556032e-05,1.522651266e-04,3.015218,3.299127,9.428571429e-05,1.522647245e-04,0
3.3,40000,7.669898214e-05,1.347449251e-04,3.067959,3.299230,7.674418605e-05,1.347231962e-04,0
8.0,10000,9.978179355e-05,1.648007497e-04,0.997818,7.999053,9.978200000e-05,1.648096005e-04,1
8.0,30000,9.978179327e-05,1.648007475e-04,2.993454,7.999053,9.978200000e-05,1.648096005e-04,1
8.0,50000,9.978179128e-05,1.648007549e-04,4.989090,7.999053,9.978200000e-05,1.648096005e-04,1
8.0,70000,9.978166808e-05,1.648007575e-04,6.984717,7.999053,9.978200000e-05,1.648096005e-04,1
8.0,76000,9.978160925e-05,1.648007567e-04,7.583402,7.999053,9.978200000e-05,1.648096005e-04,1
8.0,80000,9.635943298e-05,1.614587332e-04,7.708755,7.999073,9.638554217e-05,1.614131426e-04,0
8.0,90000,8.599924532e-05,1.511017653e-04,7.739932,7.999134,8.602150538e-05,1.510491059e-04,0
8.0,120000,6.502535468e-05,1.301343602e-04,7.803043,7.999257,6.504065041e-05,1.300682509e-04,0
12.0,10000,9.978191040e-05,1.648145277e-04,0.997819,8.001612,9.978200000e-05,1.648120000e-04,1
12.0,90000,8.602576788e-05,1.511353658e-04,7.742319,8.001600,8.603870968e-05,1.510687097e-04,0
