IREF_uA,R10_Ohm,R_bone_Ohm,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
10,30000,1000,9.783751877e-06,0.009784,7.989799,2.4636,0.2999989,0.2999987,7.480188082e-05,106949.2,9.572180078e-08,7.523509348e-05,regulating
10,30000,383000,9.783748157e-06,3.747176,4.252407,2.4636,0.2999989,0.2999987,7.480189345e-05,106949.2,3.666142183e-05,3.866936481e-05,regulating
10,30000,613000,9.783723314e-06,5.997422,2.002160,2.4636,0.2999990,0.2999988,7.480188696e-05,106949.2,5.867712128e-05,1.665347325e-05,regulating
10,30000,689000,9.783656808e-06,6.740940,1.258643,2.4636,0.2999991,0.2999989,7.480260080e-05,106948.2,6.595103903e-05,9.379042025e-06,regulating
10,30000,727000,9.783613138e-06,7.112687,0.886896,2.4636,0.2999989,0.2999987,7.480189407e-05,106949.2,6.958777554e-05,5.741971504e-06,regulating
10,30000,766000,9.783575565e-06,7.494219,0.505364,2.4636,0.2999989,0.2999987,7.480188105e-05,106949.2,7.332025674e-05,2.009201014e-06,regulating
10,30000,842000,9.163520863e-06,7.715685,0.283901,3.2709,0.2838684,0.2999987,7.426420961e-05,107723.5,7.070283650e-05,2.994059392e-10,out_of_compliance
10,30000,996000,7.787992436e-06,7.756840,0.242753,3.2711,0.2427264,0.2999987,7.289281982e-05,109750.2,6.041021487e-05,2.088328988e-10,out_of_compliance
10,30000,1914000,4.110177574e-06,7.866880,0.132735,3.2712,0.1327224,0.2999987,6.922604428e-05,115563.4,3.233427325e-05,5.349657109e-11,out_of_compliance
20,15000,1000,1.978340311e-05,0.019783,7.979740,2.4667,0.2999989,0.2999987,8.480175623e-05,94337.7,3.913830387e-07,1.519314193e-04,regulating
20,15000,191000,1.978339933e-05,3.778629,4.220894,2.4667,0.2999989,0.2999987,8.480177467e-05,94337.6,7.475413180e-05,7.756864138e-05,regulating
20,15000,306000,1.978336623e-05,6.053710,1.945814,2.4667,0.2999989,0.2999987,8.480176947e-05,94337.7,1.197627633e-04,3.255975502e-05,regulating
20,15000,344000,1.978329408e-05,6.805453,1.194071,2.4667,0.2999989,0.2999987,8.480176232e-05,94337.7,1.346342813e-04,1.768768152e-05,regulating
20,15000,364000,1.978325539e-05,7.201105,0.798419,2.4667,0.2999989,0.2999987,8.480176298e-05,94337.7,1.424612985e-04,9.860366372e-06,regulating
20,15000,383000,1.978321835e-05,7.576973,0.422551,2.4667,0.2999989,0.2999987,8.480175490e-05,94337.7,1.498969040e-04,2.424475771e-06,regulating
20,15000,421000,1.833710701e-05,7.719922,0.279610,3.2710,0.2795445,0.2999987,8.343812797e-05,95879.4,1.415610368e-04,1.194421224e-09,out_of_compliance
20,15000,498000,1.558468699e-05,7.761174,0.238374,3.2711,0.2383203,0.2999987,8.068989844e-05,99145.0,1.209554694e-04,8.332421785e-10,out_of_compliance
20,15000,957000,8.225153947e-06,7.871472,0.128119,3.2712,0.1280928,0.2999987,7.334145997e-05,109078.8,6.474407169e-05,2.135370874e-10,out_of_compliance
50,6000,1000,4.978267593e-05,0.049783,7.949565,2.4729,0.2999989,0.2999987,1.148013849e-04,69685.6,2.478314823e-06,3.808158488e-04,regulating
50,6000,77000,4.978267200e-05,3.833266,4.166082,2.4729,0.2999989,0.2999987,1.148013669e-04,69685.6,1.908302112e-04,1.924639222e-04,regulating
