vbp_v,iref_uA,rmax_kohm,first_fail_kohm,ierr_at_rmax_pct,rule_kohm,rule_error_pct
3.3,10,317.808,317.809,1.499999,332.025,4.2820
3.3,20,164.462,164.463,1.499901,164.513,0.0308
3.3,50,63.982,63.983,1.499807,64.005,0.0361
3.3,100,30.489,30.490,1.499035,30.503,0.0444
3.3,200,13.742,13.743,1.498937,13.751,0.0674
5.0,10,490.087,490.088,1.499997,504.614,2.8789
5.0,20,250.755,250.756,1.499739,250.807,0.0208
5.0,50,98.499,98.500,1.499126,98.523,0.0242
5.0,100,47.748,47.749,1.499588,47.761,0.0281
5.0,200,22.371,22.372,1.497584,22.381,0.0434
8.0,10,794.129,794.130,1.499997,809.183,1.8604
8.0,20,403.038,403.039,1.499816,403.091,0.0132
8.0,50,159.413,159.414,1.499632,159.437,0.0148
8.0,100,78.205,78.206,1.499923,78.218,0.0170
8.0,200,37.600,37.601,1.499883,37.609,0.0243
10.0,10,996.836,996.837,1.499999,1012.228,1.5206
10.0,20,504.560,504.561,1.499810,504.614,0.0107
10.0,50,200.022,200.023,1.499639,200.046,0.0118
10.0,100,98.509,98.510,1.499385,98.523,0.0141
10.0,200,47.752,47.753,1.499352,47.761,0.0197
12.0,10,1199.551,1199.552,1.499999,1215.274,1.2938
12.0,20,606.083,606.084,1.499952,606.137,0.0089
12.0,50,240.631,240.632,1.499647,240.655,0.0099
12.0,100,118.814,118.815,1.499839,118.827,0.0113
12.0,200,57.904,57.905,1.499003,57.914,0.0168
15.0,10,1503.637,1503.638,1.499997,1519.843,1.0663
15.0,20,758.366,758.367,1.499886,758.421,0.0073
15.0,50,301.545,301.546,1.499810,301.569,0.0078
15.0,100,149.271,149.272,1.499963,149.284,0.0089
15.0,200,73.133,73.134,1.499941,73.142,0.0125
