R_bone_Ohm,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
500,9.978179607e-05,0.049891,7.949162,2.4798,0.2999989,0.2999987,1.648007620e-04,48543.5,4.978203414e-06,7.632472634e-04,regulating
1000,9.978179592e-05,0.099782,7.899271,2.4798,0.2999989,0.2999987,1.648007421e-04,48543.5,9.956406797e-06,7.582690589e-04,regulating
2000,9.978179588e-05,0.199564,7.799490,2.4798,0.2999989,0.2999987,1.648007456e-04,48543.5,1.991281358e-05,7.483126518e-04,regulating
5000,9.978183434e-05,0.498909,7.500144,2.4798,0.2999990,0.2999988,1.648002124e-04,48543.6,4.978207232e-05,7.184436778e-04,regulating
10000,9.978179355e-05,0.997818,7.001235,2.4798,0.2999989,0.2999987,1.648007497e-04,48543.5,9.956406324e-05,6.686613845e-04,regulating
22000,9.978179392e-05,2.195199,5.803854,2.4798,0.2999989,0.2999987,1.648007548e-04,48543.5,2.190409408e-04,5.491845095e-04,regulating
39000,9.978179903e-05,3.891490,4.107563,2.4798,0.2999989,0.2999987,1.648007729e-04,48543.5,3.882998893e-04,3.799255983e-04,regulating
50000,9.978179128e-05,4.989090,3.009964,2.4798,0.2999989,0.2999987,1.648007549e-04,48543.5,4.978202935e-04,2.704051363e-04,regulating
62000,9.978181060e-05,6.186472,1.812581,2.4798,0.2999991,0.2999989,1.648008306e-04,48543.4,6.172974031e-04,1.509281561e-04,regulating
68000,9.978169356e-05,6.785155,1.213898,2.4798,0.2999989,0.2999987,1.648007689e-04,48543.5,6.770342731e-04,9.119040270e-05,regulating
72000,9.978164935e-05,7.184279,0.814774,2.4798,0.2999989,0.2999987,1.648007523e-04,48543.5,7.168591834e-04,5.136515361e-05,regulating
75000,9.978161926e-05,7.483621,0.515432,2.4798,0.2999989,0.2999987,1.648007606e-04,48543.5,7.467278656e-04,2.149623988e-05,regulating
76000,9.978160925e-05,7.583402,0.415651,2.4798,0.2999989,0.2999987,1.648007567e-04,48543.5,7.566840854e-04,1.153994311e-05,regulating
77000,9.978157591e-05,7.683181,0.315872,2.4800,0.2999989,0.2999987,1.648007586e-04,48543.5,7.666399426e-04,1.583829233e-06,regulating
78000,9.873839892e-05,7.701595,0.297464,3.2709,0.2971075,0.2999987,1.638369654e-04,48829.0,7.604431709e-04,3.517674530e-08,out_of_compliance
80000,9.635943298e-05,7.708755,0.290318,3.2709,0.2899727,0.2999987,1.614587332e-04,49548.3,7.428112260e-04,3.328978417e-08,out_of_compliance
82000,9.409240419e-05,7.715577,0.283509,3.2710,0.2831737,0.2999987,1.591932829e-04,50253.4,7.259772031e-04,3.155210102e-08,out_of_compliance
90000,8.599924532e-05,7.739932,0.259202,3.2710,0.2589015,0.2999987,1.511017653e-04,52944.5,6.656283176e-04,2.581284092e-08,out_of_compliance
100000,7.765054435e-05,7.765054,0.234128,3.2711,0.2338630,0.2999987,1.427556363e-04,56039.8,6.029607037e-04,2.061182396e-08,out_of_compliance
150000,5.227600848e-05,7.841401,0.157931,3.2712,0.1577622,0.2999987,1.173889539e-04,68149.5,4.099171593e-04,8.810459310e-09,out_of_compliance
220000,3.586712039e-05,7.890766,0.108662,3.2712,0.1085503,0.2999987,1.009851224e-04,79219.6,2.830190716e-04,4.006089528e-09,out_of_compliance
470000,1.691019706e-05,7.947793,0.051747,3.2712,0.0516966,0.2999990,8.203372322e-05,97520.9,1.343987393e-04,8.577950518e-10,out_of_compliance
1000000,7.974670889e-06,7.974671,0.024922,3.2712,0.0248981,0.2999987,7.310129279e-05,109437.2,6.359537579e-05,1.876098059e-10,out_of_compliance
