V_bus_V,I_bus_A,I_bone_A,V_bone_P_V,V_3v3_V,V_bone_N_V,I_bus_model_A,err_pct
0.000,1.699919754e-05,1.712520137e-12,-0.000100,-0.000136,-0.000100,1.527981000e-04,798.85478
0.020,1.725740843e-05,-2.629381662e-10,0.019899,0.019863,0.019896,1.528281062e-04,785.57970
0.040,1.751559061e-05,-4.250324733e-10,0.039897,0.039861,0.039893,1.528581125e-04,772.69745
0.060,1.777370988e-05,-5.243180442e-10,0.059896,0.059859,0.059891,1.528881187e-04,760.19250
0.080,1.803229186e-05,-5.851316911e-10,0.079895,0.079857,0.079889,1.529181250e-04,748.02379
0.100,1.829134791e-05,-6.223879898e-10,0.099893,0.099856,0.099887,1.529481312e-04,736.17748
0.120,1.855038951e-05,-6.452253209e-10,0.119892,0.119854,0.119886,1.529781374e-04,724.66267
0.140,1.880942229e-05,-6.592330929e-10,0.139891,0.139852,0.139884,1.530081437e-04,713.46541
0.160,1.906844965e-05,-6.678339806e-10,0.159889,0.159851,0.159883,1.530381499e-04,702.57259
0.180,1.932747369e-05,-6.731240020e-10,0.179888,0.179849,0.179881,1.530681562e-04,691.97188
0.200,1.958649571e-05,-6.763865500e-10,0.199887,0.199847,0.199880,1.530981624e-04,681.65163
0.220,1.984551648e-05,-6.784076599e-10,0.219885,0.219845,0.219878,1.531281687e-04,671.60082
0.240,2.010453650e-05,-6.797692266e-10,0.239884,0.239844,0.239877,1.531581749e-04,661.80903
0.260,2.036355605e-05,-6.805255435e-10,0.259883,0.259842,0.259876,1.531881811e-04,652.26636
0.280,2.062257531e-05,-6.810119237e-10,0.279881,0.279840,0.279874,1.532181874e-04,642.96340
0.300,2.088159440e-05,-6.813329613e-10,0.299880,0.299838,0.299873,1.532481936e-04,633.89125
0.320,2.114061338e-05,-6.815386587e-10,0.319879,0.319837,0.319872,1.532781999e-04,625.04140
0.340,2.139963230e-05,-6.817020204e-10,0.339877,0.339835,0.339870,1.533082061e-04,616.40580
0.360,2.165865117e-05,-6.818253659e-10,0.359876,0.359833,0.359869,1.533382123e-04,607.97674
0.380,2.191767002e-05,-6.819272731e-10,0.379875,0.379831,0.379868,1.533682186e-04,599.74691
0.400,2.217668886e-05,-6.820097820e-10,0.399873,0.399830,0.399866,1.533982248e-04,591.70933
0.420,2.243570768e-05,-6.820823121e-10,0.419872,0.419828,0.419865,1.534282311e-04,583.85733
0.440,2.269472651e-05,-6.821519320e-10,0.439870,0.439826,0.439864,1.534582373e-04,576.18456
0.460,2.295374532e-05,-6.822166402e-10,0.459869,0.459825,0.459862,1.534882435e-04,568.68496
0.480,2.321276414e-05,-6.822802972e-10,0.479868,0.479823,0.479861,1.535182498e-04,561.35273
0.500,2.347178295e-05,-6.823422895e-10,0.499866,0.499821,0.499860,1.535482560e-04,554.18233
0.520,2.373080176e-05,-6.824033542e-10,0.519865,0.519819,0.519858,1.535782623e-04,547.16845
0.540,2.398982058e-05,-6.824639488e-10,0.539864,0.539818,0.539857,1.536082685e-04,540.30603
0.560,2.424883939e-05,-6.825244239e-10,0.559862,0.559816,0.559856,1.536382748e-04,533.59022
0.580,2.450785820e-05,-6.825848348e-10,0.579861,0.579814,0.579854,1.536682810e-04,527.01636
0.600,2.476687701e-05,-6.826450743e-10,0.599860,0.599812,0.599853,1.536982872e-04,520.58001
0.620,2.502589582e-05,-6.827051086e-10,0.619858,0.619811,0.619852,1.537282935e-04,514.27689
0.640,2.528491464e-05,-6.827650717e-10,0.639857,0.639809,0.639850,1.537582997e-04,508.10290
0.660,2.554393345e-05,-6.828250967e-10,0.659856,0.659807,0.659849,1.537883060e-04,502.05413
0.680,2.580295226e-05,-6.828851171e-10,0.679854,0.679806,0.679848,1.538183122e-04,496.12679
0.700,2.606197107e-05,-6.829451189e-10,0.699853,0.699804,0.699846,1.538483184e-04,490.31728
0.720,2.632098988e-05,-6.830050108e-10,0.719852,0.719802,0.719845,1.538783247e-04,484.62210
0.740,2.658000869e-05,-6.830651565e-10,0.739850,0.739800,0.739843,1.539083309e-04,479.03793
0.760,2.683902750e-05,-6.831252671e-10,0.759849,0.759799,0.759842,1.539383372e-04,473.56153
0.780,2.709804631e-05,-6.831853565e-10,0.779848,0.779797,0.779841,1.539683434e-04,468.18983
0.800,2.735706513e-05,-6.832453082e-10,0.799846,0.799795,0.799839,1.539983497e-04,462.91985
0.820,2.761608394e-05,-6.833053220e-10,0.819845,0.819793,0.819838,1.540283559e-04,457.74872
0.840,2.787510275e-05,-6.833653846e-10,0.839844,0.839792,0.839837,1.540583621e-04,452.67370
0.860,2.813412156e-05,-6.834252552e-10,0.859842,0.859790,0.859835,1.540883684e-04,447.69213
0.880,2.839314037e-05,-6.834853126e-10,0.879841,0.879788,0.879834,1.541183746e-04,442.80144
0.900,2.865215918e-05,-6.835453711e-10,0.899840,0.899786,0.899833,1.541483809e-04,437.99918
0.920,2.891117799e-05,-6.836054312e-10,0.919838,0.919785,0.919831,1.541783871e-04,433.28296
0.940,2.917019680e-05,-6.836652848e-10,0.939837,0.939783,0.939830,1.542083933e-04,428.65051
0.960,2.942921561e-05,-6.837253448e-10,0.959836,0.959781,0.959829,1.542383996e-04,424.09959
0.980,2.968823442e-05,-6.837852318e-10,0.979834,0.979780,0.979827,1.542684058e-04,419.62809
1.000,2.994725324e-05,-6.838452499e-10,0.999833,0.999778,0.999826,1.542984121e-04,415.23394
1.020,3.020627150e-05,-6.839054183e-10,1.019831,1.019776,1.019825,1.543284183e-04,410.91515
1.040,3.046528966e-05,-6.839652934e-10,1.039830,1.039774,1.039823,1.543584245e-04,406.66981
1.060,3.072430783e-05,-6.840253227e-10,1.059829,1.059773,1.059822,1.543884308e-04,402.49604
1.080,3.098332599e-05,-6.840854303e-10,1.079827,1.079771,1.079821,1.544184370e-04,398.39206
1.100,3.124234415e-05,-6.841453764e-10,1.099826,1.099769,1.099819,1.544484433e-04,394.35613
1.120,3.150136231e-05,-6.842054082e-10,1.119825,1.119767,1.119818,1.544784495e-04,390.38657
1.140,3.176038048e-05,-6.842652696e-10,1.139823,1.139766,1.139817,1.545084558e-04,386.48175
1.160,3.201939864e-05,-6.843254662e-10,1.159822,1.159764,1.159815,1.545384620e-04,382.64011
1.180,3.227841680e-05,-6.843852387e-10,1.179821,1.179762,1.179814,1.545684682e-04,378.86013
1.200,3.253743496e-05,-6.844453554e-10,1.199819,1.199761,1.199813,1.545984745e-04,375.14033
1.220,3.279645312e-05,-6.845052920e-10,1.219818,1.219759,1.219811,1.546284807e-04,371.47928
1.240,3.305547129e-05,-6.845653248e-10,1.239817,1.239757,1.239810,1.546584870e-04,367.87561
1.260,3.331448945e-05,-6.846252582e-10,1.259815,1.259755,1.259809,1.546884932e-04,364.32797
1.280,3.357350761e-05,-6.846853822e-10,1.279814,1.279754,1.279807,1.547184994e-04,360.83508
1.300,3.383252577e-05,-6.847454175e-10,1.299813,1.299752,1.299806,1.547485057e-04,357.39566
1.320,3.409154393e-05,-6.848047787e-10,1.319811,1.319750,1.319804,1.547785119e-04,354.00851
1.340,3.435056210e-05,-6.848653838e-10,1.339810,1.339748,1.339803,1.548085182e-04,350.67245
1.360,3.460958026e-05,-6.849255168e-10,1.359809,1.359747,1.359802,1.548385244e-04,347.38631
1.380,3.486859842e-05,-6.849853471e-10,1.379807,1.379745,1.379800,1.548685306e-04,344.14900
1.400,3.512761658e-05,-6.850453044e-10,1.399806,1.399743,1.399799,1.548985369e-04,340.95943
1.420,3.538663475e-05,-6.851053427e-10,1.419805,1.419741,1.419798,1.549285431e-04,337.81655
1.440,3.564565291e-05,-6.851654462e-10,1.439803,1.439740,1.439796,1.549585494e-04,334.71935
1.460,3.590467107e-05,-6.852252645e-10,1.459802,1.459738,1.459795,1.549885556e-04,331.66683
1.480,3.616368923e-05,-6.852854062e-10,1.479801,1.479736,1.479794,1.550185619e-04,328.65804
1.500,3.642270740e-05,-6.853455516e-10,1.499799,1.499735,1.499792,1.550485681e-04,325.69205
1.520,3.668172556e-05,-6.854050157e-10,1.519798,1.519733,1.519791,1.550785743e-04,322.76794
1.540,3.694074372e-05,-6.854655114e-10,1.539797,1.539731,1.539790,1.551085806e-04,319.88483
1.560,3.719976188e-05,-6.855253168e-10,1.559795,1.559729,1.559788,1.551385868e-04,317.04188
1.580,3.745878004e-05,-6.855854679e-10,1.579794,1.579728,1.579787,1.551685931e-04,314.23825
1.600,3.771779821e-05,-6.856456225e-10,1.599792,1.599726,1.599786,1.551985993e-04,311.47312
1.620,3.797681637e-05,-6.857054212e-10,1.619791,1.619724,1.619784,1.552286055e-04,308.74570
1.640,3.823583453e-05,-6.857653709e-10,1.639790,1.639722,1.639783,1.552586118e-04,306.05525
1.660,3.849485269e-05,-6.858253712e-10,1.659788,1.659721,1.659782,1.552886180e-04,303.40099
1.680,3.875387086e-05,-6.858849412e-10,1.679787,1.679719,1.679780,1.553186243e-04,300.78222
1.700,3.901288902e-05,-6.859453180e-10,1.699786,1.699717,1.699779,1.553486305e-04,298.19822
1.720,3.927190718e-05,-6.860054811e-10,1.719784,1.719716,1.719778,1.553786368e-04,295.64831
1.740,3.953092534e-05,-6.860656477e-10,1.739783,1.739714,1.739776,1.554086430e-04,293.13181
1.760,3.978994350e-05,-6.861254272e-10,1.759782,1.759712,1.759775,1.554386492e-04,290.64808
1.780,4.004896167e-05,-6.861854944e-10,1.779780,1.779710,1.779774,1.554686555e-04,288.19647
1.800,4.030797983e-05,-6.862453700e-10,1.799779,1.799709,1.799772,1.554986617e-04,285.77637
1.820,4.056699799e-05,-6.863055422e-10,1.819778,1.819707,1.819771,1.555286680e-04,283.38718
1.840,4.082601615e-05,-6.863654801e-10,1.839776,1.839705,1.839769,1.555586742e-04,281.02830
1.860,4.108503432e-05,-6.864253188e-10,1.859775,1.859703,1.859768,1.555886804e-04,278.69916
1.880,4.134405248e-05,-6.864856627e-10,1.879774,1.879702,1.879767,1.556186867e-04,276.39921
1.900,4.160307064e-05,-6.865453162e-10,1.899772,1.899700,1.899765,1.556486929e-04,274.12790
1.920,4.186208880e-05,-6.866056040e-10,1.919771,1.919698,1.919764,1.556786992e-04,271.88469
1.940,4.212110696e-05,-6.866653580e-10,1.939770,1.939697,1.939763,1.557087054e-04,269.66907
1.960,4.238012513e-05,-6.867255417e-10,1.959768,1.959695,1.959761,1.557387116e-04,267.48054
1.980,4.263914329e-05,-6.867857291e-10,1.979767,1.979693,1.979760,1.557687179e-04,265.31859
2.000,4.289816145e-05,-6.868453657e-10,1.999766,1.999691,1.999759,1.557987241e-04,263.18275
2.020,4.315717961e-05,-6.869056660e-10,2.019764,2.019690,2.019757,1.558287304e-04,261.07255
2.040,4.341619777e-05,-6.869652555e-10,2.039763,2.039688,2.039756,1.558587366e-04,258.98753
2.060,4.367521594e-05,-6.870255993e-10,2.059762,2.059686,2.059755,1.558887429e-04,256.92724
2.080,4.393423410e-05,-6.870853336e-10,2.079760,2.079684,2.079753,1.559187491e-04,254.89124
2.100,4.419325226e-05,-6.871455288e-10,2.099759,2.099683,2.099752,1.559487553e-04,252.87911
2.120,4.445227042e-05,-6.872057277e-10,2.119758,2.119681,2.119751,1.559787616e-04,250.89043
2.140,4.471128859e-05,-6.872654548e-10,2.139756,2.139679,2.139749,1.560087678e-04,248.92479
2.160,4.497030675e-05,-6.873256562e-10,2.159755,2.159677,2.159748,1.560387741e-04,246.98179
2.180,4.522932491e-05,-6.873853770e-10,2.179754,2.179676,2.179747,1.560687803e-04,245.06104
2.200,4.875301589e-05,-3.266558173e-06,2.199733,2.199655,2.167067,1.560987865e-04,220.18283
2.220,5.472598129e-05,-8.982602023e-06,2.219698,2.219619,2.129872,1.561287928e-04,185.29190
2.240,6.095101245e-05,-1.495080357e-05,2.239662,2.239583,2.090154,1.561587990e-04,156.20378
2.260,6.729376894e-05,-2.103677195e-05,2.259624,2.259545,2.049257,1.561888053e-04,132.09995
2.280,7.370867560e-05,-2.719491531e-05,2.279587,2.279507,2.007638,1.562188115e-04,111.94087
2.300,8.017365298e-05,-3.340314697e-05,2.299549,2.299469,1.965518,1.562488177e-04,94.88799
2.320,8.667600820e-05,-3.964876973e-05,2.319511,2.319431,1.923023,1.562788240e-04,80.30229
2.340,9.318895829e-05,-4.590499698e-05,2.339473,2.339392,1.880423,1.563088302e-04,67.73321
2.360,9.972502081e-05,-5.218434508e-05,2.359435,2.359353,1.837591,1.563388365e-04,56.76992
2.380,1.062806689e-04,-5.848328591e-05,2.379396,2.379315,1.794563,1.563688427e-04,47.12821
2.400,1.128529404e-04,-6.479885610e-05,2.399358,2.399276,1.751369,1.563988490e-04,38.58642
2.420,1.194394945e-04,-7.112871425e-05,2.419319,2.419237,1.708032,1.564288552e-04,30.96912
2.440,1.222650551e-04,-7.369738847e-05,2.439303,2.439220,1.702329,1.564588614e-04,27.96695
2.460,1.231279435e-04,-7.430328880e-05,2.459298,2.459215,1.716265,1.564888677e-04,27.09452
2.480,1.239908322e-04,-7.490919028e-05,2.479293,2.479210,1.730201,1.565188739e-04,26.23423
2.500,1.248537190e-04,-7.551508666e-05,2.499288,2.499204,1.744137,1.565488802e-04,25.38584
2.520,1.256862076e-04,-7.612098859e-05,2.519283,2.519199,1.758073,1.565788864e-04,24.57921
2.540,1.265186971e-04,-7.672689020e-05,2.539278,2.539194,1.772009,1.566088926e-04,23.78320
2.560,1.273511844e-04,-7.733279041e-05,2.559273,2.559188,1.785946,1.566388989e-04,22.99760
2.580,1.281836715e-04,-7.793868963e-05,2.579269,2.579183,1.799882,1.566689051e-04,22.22220
2.600,1.290161593e-04,-7.854459136e-05,2.599264,2.599178,1.813818,1.566989114e-04,21.45681
2.620,1.298486479e-04,-7.915049271e-05,2.619259,2.619173,1.827754,1.567289176e-04,20.70123
2.640,1.306811377e-04,-7.975639308e-05,2.639254,2.639167,1.841690,1.567589239e-04,19.95528
